sample_id,cluster_label
0,0
1,1
2,1
3,2
4,1
5,0
6,0
7,2
8,0
9,2
10,0
11,1
12,1
13,0
14,2
15,0
16,1
17,0
18,1
19,0
20,0
21,2
22,2
23,0
24,1
25,2
26,0
27,0
28,1
29,0
30,2
31,1
32,0
33,2
34,0
35,2
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,2
44,2
45,2
46,1
47,0
48,1
49,0
50,0
51,0
52,2
53,2
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,2
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,2
78,1
79,2
80,2
81,0
82,0
83,2
84,0
85,0
86,2
87,2
88,0
89,1
90,0
91,0
92,0
93,2
94,1
95,1
96,0
97,2
98,2
99,2
100,0
101,0
102,2
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,0
111,2
112,0
113,0
114,1
115,1
116,0
117,0
118,1
119,1
120,2
121,1
122,1
123,0
124,0
125,1
126,2
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,2
136,2
137,0
138,0
139,0
140,2
141,0
142,0
143,2
144,0
145,1
146,0
147,2
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,2
162,1
163,0
164,0
165,1
166,0
167,2
168,2
169,0
170,1
171,1
172,2
173,0
174,2
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,2
184,1
185,0
186,2
187,1
188,2
189,0
190,0
191,2
192,0
193,1
194,2
195,0
196,1
197,1
198,0
199,1
200,2
201,2
202,0
203,0
204,2
205,0
206,0
207,1
208,0
209,0
210,1
211,2
212,1
213,0
214,0
215,1
216,0
217,2
218,1
219,2
220,2
221,1
222,0
223,1
224,0
225,1
226,1
227,0
228,2
229,2
230,2
231,2
232,2
233,0
234,2
235,1
236,1
237,0
238,2
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,2
248,1
249,2
250,1
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,2
259,0
260,0
261,1
262,1
263,2
264,1
265,2
266,0
267,0
268,0
269,0
270,2
271,1
272,2
273,1
274,2
275,0
276,1
277,2
278,1
279,0
280,2
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,2
289,0
290,0
291,0
292,2
293,1
294,1
295,1
296,0
297,0
298,2
299,0
300,0
301,1
302,0
303,0
304,0
305,2
306,1
307,1
308,1
309,0
310,2
311,1
312,2
313,1
314,2
315,1
316,2
317,0
318,2
319,0
320,1
321,0
322,0
323,1
324,2
325,1
326,2
327,0
328,0
329,2
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,2
339,0
340,0
341,2
342,2
343,1
344,0
345,2
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,1
356,0
357,1
358,2
359,0
360,0
361,0
362,1
363,0
364,2
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,2
379,1
380,1
381,2
382,1
383,1
384,0
385,2
386,1
387,0
388,0
389,2
390,0
391,0
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,0
402,2
403,0
404,0
405,1
406,2
407,0
408,1
409,2
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,2
420,1
421,2
422,0
423,0
424,0
425,2
426,1
427,1
428,1
429,0
430,0
431,1
432,0
433,2
434,0
435,1
436,2
437,1
438,0
439,1
440,1
441,2
442,0
443,0
444,0
445,0
446,2
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,0
458,2
459,0
460,0
461,2
462,2
463,1
464,0
465,0
466,1
467,2
468,1
469,2
470,1
471,1
472,0
473,0
474,2
475,1
476,2
477,0
478,1
479,0
480,0
481,0
482,2
483,0
484,2
485,2
486,0
487,0
488,1
489,2
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,1
508,2
509,2
510,0
511,1
512,2
513,1
514,1
515,1
516,0
517,1
518,2
519,0
520,2
521,2
522,1
523,0
524,1
525,2
526,1
527,0
528,1
529,2
530,0
531,0
532,1
533,2
534,0
535,0
536,2
537,2
538,1
539,0
540,0
541,1
542,0
543,1
544,2
545,0
546,0
547,2
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,0
556,1
557,1
558,2
559,0
560,0
561,0
562,2
563,1
564,1
565,1
566,0
567,0
568,1
569,2
570,0
571,1
572,0
573,0
574,1
575,0
576,0
577,0
578,1
579,2
580,0
581,0
582,2
583,0
584,1
585,1
586,2
587,1
588,1
589,1
590,1
591,1
592,0
593,2
594,0
595,0
596,0
597,2
598,1
599,1
600,1
601,1
602,0
603,0
604,2
605,0
606,0
607,0
608,0
609,1
610,1
611,2
612,0
613,1
614,1
615,0
616,1
617,2
618,2
619,0
620,1
621,2
622,1
623,0
624,0
625,0
626,2
627,0
628,0
629,2
630,1
631,0
632,0
633,0
634,0
635,1
636,0
637,1
638,0
639,0
640,1
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,2
665,2
666,1
667,1
668,1
669,1
670,2
671,0
672,0
673,2
674,1
675,1
676,1
677,1
678,2
679,2
680,1
681,1
682,1
683,2
684,0
685,2
686,0
687,0
688,0
689,1
690,0
691,0
692,2
693,2
694,0
695,2
696,1
697,0
698,0
699,2
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,1
721,2
722,0
723,0
724,0
725,1
726,2
727,1
728,1
729,0
730,1
731,1
732,2
733,0
734,2
735,0
736,0
737,1
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,2
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
